matrixSize, inverceDuration(milliseconds);
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;1
90;1
100;1
110;2
120;3
130;3
140;4
150;5
160;6
170;11
180;10
190;11
200;14
210;15
220;18
230;20
240;23
250;26
260;38
270;40
280;38
290;41
300;46
310;50
320;55
330;60
340;69
350;72
360;82
370;88
380;93
390;98
400;107
410;115
420;123
430;132
440;155
450;152
460;162
470;171
480;184
490;192
500;208
510;222
520;236
530;259
540;284
550;293
560;308
570;328
580;324
590;346
600;396
610;401
620;407
630;419
640;469
650;472
660;498
670;512
680;527
690;610
700;712
710;678
720;672
730;701
740;745
750;765
760;762
770;788
780;802
790;855
800;885
810;946
820;963
830;972
840;1023
850;1066
860;1085
870;1134
880;1162
890;1230
900;1247
910;1293
920;1345
930;1428
940;1441
950;1495
960;1525
970;1626
980;1712
990;1751
1000;1746
1010;1845
1020;1931
1030;1984
1040;2013
1050;2058
1060;2077
1070;2169
1080;2211
1090;2282
1100;2357
1110;2467
1120;2528
1130;2542
1140;2771
1150;2772
1160;2812
1170;2948
1180;3017
1190;3121
1200;3113
1210;3141
1220;3220
1230;3272
1240;3437
1250;3541
1260;3583
1270;3698
1280;3761
1290;3973
1300;4033
1310;4152
1320;4221
1330;4556
1340;4636
1350;4499
1360;4602
1370;4728
1380;4678
1390;4775
1400;5090
1410;5136
1420;5247
1430;5363
1440;5435
1450;5601
1460;5876
1470;5885
1480;6039
1490;6064
1500;6156
1510;6329
1520;6493
1530;6538
1540;6720
1550;7052
1560;6978
1570;7101
1580;7187
1590;7421
1600;7619
1610;7718
1620;7876
1630;8013
1640;8178
1650;8754
1660;8476
1670;8634
1680;8706
1690;8897
1700;9131
1710;9154
1720;9762
1730;9526
1740;9754
1750;9907
1760;10026
1770;10289
1780;10386
1790;11328
1800;10786
1810;10623
1820;10824
1830;11014
1840;11188
1850;11635
1860;11595
1870;11578
1880;11953
1890;12178
1900;12853
1910;12481
1920;12629
1930;13201
1940;13516
1950;14051
1960;14008
1970;14336
1980;15175
1990;14218
2000;14836
